title,body,author,language,country,date_written
I like to see it lap the Miles,"I like to see it lap the Miles,  
And lick the valleys up,  
And stop to feed itself at tanks;  
And then, prodigious, step  
   
Around a pile of mountains, 
And, supercilious, peer  
In shanties by the sides of roads;  
And then a quarry pare  
   
To fit its sides, and crawl between,  
Complaining all the while
In horrid, hooting stanza;  
Then chase itself down hill  
   
And neigh like Boanerges;  
Then, punctual as a star,  
Stop—docile and omnipotent—
At its own stable door.",Emily Dickinson,English,United States of America,1886
Color - Caste - Denomination -,"Color - Caste - Denomination -
These - are Time's Affair -
Death's diviner Classifying
Does not know they are -

As in sleep - all Hue forgotten -
Tenets - put behind -
Death's large - Democratic fingers
Rub away the Brand -

If Circassian - He is careless -
If He put away
Chrysalis of Blonde - or Umber -
Equal Butterfly -

They emerge from His Obscuring -
What Death - knows so well -
Our minuter intuitions -
Deem unplausible",Emily Dickinson,English,United States of America,1886
The Outlet,"My river runs to thee:  
Blue sea, wilt welcome me?  
   
My river waits reply.  
Oh sea, look graciously!  
   
I'll fetch thee brooks
From spotted nooks,—  
   
Say, sea,  
Take me!",Emily Dickinson,English,United States of America,1886
It sifts from Leaden Sieves -,"It sifts from Leaden Sieves -
It powders all the Wood.
It fills with Alabaster Wool
The Wrinkles of the Road -

It makes an Even Face
Of Mountain, and of Plain -
Unbroken Forehead from the East
Unto the East again -

It reaches to the Fence -
It wraps it Rail by Rail
Till it is lost in Fleeces -
It deals Celestial Vail

To Stump, and Stack - and Stem -
A Summer’s empty Room -
Acres of Joints, where Harvests were,
Recordless, but for them -

It Ruffles Wrists of Posts
As Ankles of a Queen -
Then stills its Artisans - like Ghosts -
Denying they have been -",Emily Dickinson,English,United States of America,1886
"I could suffice for Him, I knew","I could suffice for Him, I knew—
He—could suffice for Me—
Yet Hesitating Fractions—Both
Surveyed Infinity—

""Would I be Whole"" He sudden broached—
My syllable rebelled—
'Twas face to face with Nature—forced—
'Twas face to face with God—

Withdrew the Sun—to Other Wests—
Withdrew the furthest Star
Before Decision—stooped to speech—
And then—be audibler

The Answer of the Sea unto
The Motion of the Moon—
Herself adjust Her Tides—unto—
Could I—do else—with Mine?",Emily Dickinson,English,United States of America,1886
A Day,"I’ll tell you how the sun rose, —
A ribbon at a time.
The steeples swam in amethyst,
The news like squirrels ran.

The hills untied their bonnets,
The bobolinks begun.
Then I said softly to myself,
“That must have been the sun!”

But how he set, I know not.
There seemed a purple stile
Which little yellow boys and girls
Were climbing all the while

Till when they reached the other side,
A dominie in gray
Put gently up the evening bars,
And led the flock away.",Emily Dickinson,English,United States of America,1886
Like Brooms of Steel,"Like Brooms of Steel  
The Snow and Wind  
Had swept the Winter Street -
The House was hooked  
The Sun sent out   
Faint Deputies of Heat -
Where rode the Bird  
The Silence tied  
His ample - plodding Steed
The Apple in the Cellar snug  
Was all the one that played.",Emily Dickinson,English,United States of America,1886
I'm Nobody! Who are you?,"I'm Nobody! Who are you?
Are you – Nobody – too?
Then there's a pair of us!
Don't tell! they'd advertise – you know!

How dreary – to be – Somebody!
How public – like a Frog –
To tell one's name – the livelong June –
To an admiring Bog!",Emily Dickinson,English,United States of America,1886
The Soul has Bandaged moments,"The Soul has Bandaged moments –
When too appalled to stir –
She feels some ghastly Fright come up
And stop to look at her –

Salute her, with long fingers –
Caress her freezing hair –
Sip, Goblin, from the very lips
The Lover – hovered – o’er –
Unworthy, that a thought so mean
Accost a Theme – so – fair ­–

The soul has moments of escape –
When bursting all the doors –
She dances like a Bomb, abroad,
And swings opon the Hours,

As do the Bee – delirious borne –
Long Dungeoned from his Rose –
Touch Liberty – then know no more,
But Noon, and Paradise –

The Soul’s retaken moments –
When, Felon led along,
With shackles on the plumed feet,
And staples, in the song,

The Horror welcomes her, again,
These, are not brayed of Tongue –",Emily Dickinson,English,United States of America,1886
I cannot live with You,"I cannot live with You – 
It would be Life – 
And Life is over there – 
Behind the Shelf

The Sexton keeps the Key to – 
Putting up
Our Life – His Porcelain – 
Like a Cup – 

Discarded of the Housewife – 
Quaint – or Broke – 
A newer Sevres pleases – 
Old Ones crack – 

I could not die – with You – 
For One must wait
To shut the Other's Gaze down – 
You – could not – 

And I – could I stand by
And see You – freeze – 
Without my Right of Frost – 
Death's privilege?

Nor could I rise – with You – 
Because Your Face
Would put out Jesus' – 
That New Grace

Glow plain – and foreign
On my homesick Eye – 
Except that You than He
Shone closer by – 

They'd judge Us – How – 
For You – served Heaven – You know,
Or sought to – 
I could not – 

Because You saturated Sight – 
And I had no more Eyes
For sordid excellence
As Paradise

And were You lost, I would be – 
Though My Name
Rang loudest
On the Heavenly fame – 

And were You – saved – 
And I – condemned to be
Where You were not – 
That self – were Hell to Me – 

So We must meet apart – 
You there – I – here – 
With just the Door ajar
That Oceans are – and Prayer – 
And that White Sustenance – 
Despair – ",Emily Dickinson,English,United States of America,1886
